Species,Weight,Height,Width,Length
Bream,242.0,11.52,4.02,26.2
Bream,290.0,12.48,4.3056,27.166666666666668
Bream,340.0,12.3778,4.6961,27.166666666666668
Bream,363.0,12.73,4.4555,29.6
Bream,430.0,12.444,5.134,29.83333333333333
Bream,450.0,13.6024,4.9274,30.4
Bream,500.0,14.1795,5.2785,30.33333333333333
Bream,390.0,12.67,4.69,30.866666666666664
Bream,450.0,14.0049,4.8438,30.9
Bream,500.0,14.2266,4.9594,31.8
Bream,475.0,14.2628,5.1042,31.866666666666664
Bream,500.0,14.3714,4.8146,31.96666666666667
Bream,500.0,13.7592,4.368,32.333333333333336
Bream,340.0,13.9129,5.0728,32.93333333333333
Bream,600.0,14.9544,5.1708,32.86666666666667
Bream,600.0,15.438,5.58,32.86666666666667
Bream,700.0,14.8604,5.2854,33.9
Bream,700.0,14.938,5.1975,33.96666666666667
Bream,610.0,15.633,5.1338,34.333333333333336
Bream,650.0,14.4738,5.7276,34.4
Bream,575.0,15.1285,5.5695,34.93333333333333
Bream,685.0,15.9936,5.3704,34.86666666666667
Bream,620.0,15.5227,5.2801,35.233333333333334
Bream,680.0,15.4686,6.1306,35.800000000000004
Bream,700.0,16.2405,5.589,35.800000000000004
Bream,725.0,16.36,6.0532,35.9
Bream,720.0,16.3618,6.09,35.86666666666667
Bream,714.0,16.517,5.8515,36.73333333333333
Bream,850.0,16.8896,6.1984,36.8
Bream,1000.0,18.957,6.603,37.7
Bream,920.0,18.0369,6.3063,39.2
Bream,955.0,18.084,6.292,39.16666666666666
Bream,925.0,18.7542,6.7497,40.333333333333336
Bream,975.0,18.6354,6.7473,41.43333333333334
Bream,950.0,17.6235,6.3705,41.833333333333336
Roach,40.0,4.1472,2.268,14.4
Roach,69.0,5.2983,2.8217,18.33333333333333
Roach,78.0,5.5756,2.9044,19.166666666666668
Roach,87.0,5.6166,3.1746,20.066666666666663
Roach,120.0,6.216,3.5742,20.266666666666666
Roach,0.0,6.4752,3.3516,20.766666666666666
Roach,110.0,6.1677,3.3957,21.000000000000004
Roach,120.0,6.1146,3.2943,21.366666666666664
Roach,150.0,5.8045,3.7544,22.366666666666664
Roach,145.0,6.6339,3.5478,22.266666666666666
Roach,160.0,7.0334,3.8203,22.766666666666666
Roach,140.0,6.55,3.325,22.83333333333333
Roach,160.0,6.4,3.8,22.866666666666664
Roach,169.0,7.5344,3.8352,24.4
Roach,161.0,6.9153,3.6312,24.03333333333333
Roach,200.0,7.3968,4.1272,24.133333333333336
Roach,180.0,7.0866,3.906,25.566666666666663
Roach,290.0,8.8768,4.4968,26.4
Roach,272.0,8.568,4.7736,27.53333333333333
Roach,390.0,9.485,5.355,32.06666666666667
Whitefish,270.0,8.3804,4.2476,26.1
Whitefish,270.0,8.1454,4.2485,26.633333333333336
Whitefish,306.0,8.778,4.6816,28.133333333333336
Whitefish,540.0,10.744,6.562,31.166666666666668
Whitefish,800.0,11.7612,6.5736,36.56666666666666
Whitefish,1000.0,12.354,6.525,40.266666666666666
Parkki,55.0,6.8475,2.3265,14.9
Parkki,60.0,6.5772,2.3142,15.733333333333334
Parkki,90.0,7.4052,2.673,17.933333333333334
Parkki,120.0,8.3922,2.9181,19.266666666666666
Parkki,150.0,8.8928,3.2928,20.266666666666666
Parkki,140.0,8.5376,3.2944,20.96666666666667
Parkki,170.0,9.396,3.4104,20.96666666666667
Parkki,145.0,9.7364,3.1571,21.8
Parkki,200.0,10.3458,3.6636,23.33333333333333
Parkki,273.0,11.088,4.144,25.33333333333333
Parkki,300.0,11.368,4.234,26.33333333333333
Perch,5.9,2.112,1.408,8.233333333333334
Perch,32.0,3.528,1.9992,13.633333333333333
Perch,40.0,3.824,2.432,14.933333333333332
Perch,51.5,4.5924,2.6316,16.133333333333333
Perch,70.0,4.588,2.9415,17.2
Perch,100.0,5.2224,3.3216,17.8
Perch,78.0,5.1992,3.1234,18.3
Perch,80.0,5.6358,3.0502,18.8
Perch,85.0,5.1376,3.0368,19.4
Perch,85.0,5.082,2.772,19.73333333333333
Perch,110.0,5.6925,3.555,20.83333333333333
Perch,115.0,5.9175,3.3075,20.83333333333333
Perch,125.0,5.6925,3.6675,20.83333333333333
Perch,130.0,6.384,3.534,21.133333333333336
Perch,120.0,6.11,3.4075,21.83333333333333
Perch,120.0,5.64,3.525,21.83333333333333
Perch,130.0,6.11,3.525,21.83333333333333
Perch,135.0,5.875,3.525,21.83333333333333
Perch,110.0,5.5225,3.995,21.83333333333333
Perch,130.0,5.856,3.624,22.33333333333333
Perch,150.0,6.792,3.624,22.33333333333333
Perch,145.0,5.9532,3.63,22.53333333333333
Perch,150.0,5.2185,3.626,22.83333333333333
Perch,170.0,6.275,3.725,23.33333333333333
Perch,225.0,7.293,3.723,23.83333333333333
Perch,145.0,6.375,3.825,23.83333333333333
Perch,188.0,6.7334,4.1658,24.46666666666667
Perch,180.0,6.4395,3.6835,24.83333333333333
Perch,197.0,6.561,4.239,25.366666666666664
Perch,218.0,7.168,4.144,26.5
Perch,300.0,8.323,5.1373,27.066666666666663
Perch,260.0,7.1672,4.335,27.266666666666666
Perch,265.0,7.0516,4.335,27.266666666666666
Perch,250.0,7.2828,4.5662,27.266666666666666
Perch,250.0,7.8204,4.2042,27.766666666666666
Perch,300.0,7.5852,4.6354,28.566666666666663
Perch,320.0,7.6156,4.7716,29.8
Perch,514.0,10.03,6.018,32.43333333333333
Perch,556.0,10.2565,6.3875,34.333333333333336
Perch,840.0,11.4884,7.7957,34.93333333333333
Perch,685.0,10.881,6.864,36.5
Perch,700.0,10.6091,6.7408,36.1
Perch,700.0,10.835,6.2646,36.96666666666667
Perch,690.0,10.5717,6.3666,36.96666666666666
Perch,900.0,11.1366,7.4934,38.96666666666667
Perch,650.0,11.1366,6.003,38.96666666666667
Perch,820.0,12.4313,7.3514,38.96666666666666
Perch,850.0,11.9286,7.1064,39.73333333333333
Perch,900.0,11.73,7.225,39.833333333333336
Perch,1015.0,12.3808,7.4624,39.8
Perch,820.0,11.135,6.63,39.86666666666667
Perch,1100.0,12.8002,6.8684,41.86666666666667
Perch,1000.0,11.9328,7.2772,42.66666666666666
Perch,1100.0,12.5125,7.4165,42.86666666666667
Perch,1000.0,12.604,8.142,43.23333333333333
Perch,1000.0,12.4888,7.5958,43.9
Pike,200.0,5.568,3.3756,32.36666666666667
Pike,300.0,5.7078,4.158,34.5
Pike,300.0,5.9364,4.3844,35.5
Pike,300.0,6.2884,4.0198,37.3
Pike,430.0,7.29,4.5765,38.0
Pike,345.0,6.396,3.977,38.5
Pike,456.0,7.28,4.3225,42.66666666666666
Pike,510.0,6.825,4.459,42.66666666666666
Pike,540.0,7.786,5.1296,42.96666666666666
Pike,500.0,6.96,4.896,45.0
Pike,567.0,7.792,4.87,45.96666666666667
Pike,770.0,7.68,5.376,48.0
Pike,950.0,8.9262,6.1712,51.7
Pike,1250.0,10.6863,6.9849,55.9
Pike,1600.0,9.6,6.144,60.0
Pike,1550.0,9.6,6.144,60.0
Pike,1650.0,10.812,7.48,63.46666666666667
Smelt,6.7,1.7388,1.0476,9.966666666666669
Smelt,7.5,1.972,1.16,10.7
Smelt,7.0,1.7284,1.1484,10.766666666666666
Smelt,9.7,2.196,1.38,11.133333333333333
Smelt,9.8,2.0832,1.2772,11.433333333333332
Smelt,8.7,1.9782,1.2852,11.566666666666668
Smelt,10.0,2.2139,1.2838,12.066666666666668
Smelt,9.9,2.2139,1.1659,12.066666666666668
Smelt,9.8,2.2044,1.1484,12.199999999999998
Smelt,12.2,2.0904,1.3936,12.366666666666667
Smelt,13.4,2.43,1.269,12.533333333333331
Smelt,12.2,2.277,1.2558,12.966666666666669
Smelt,19.7,2.8728,2.0672,14.233333333333334
Smelt,19.9,2.9322,1.8792,15.0